layer_name,path,geom_types,metric,total,inside,inside_ratio,class,error
Eth_Zones_New,/work/data/gold/atlas_4326/Eth_Zones_New.shp,MultiPolygon|Polygon,area,1128686885693.066,56227023928.60473,0.049816317210134624,ETHIOPIA_WIDE,
EthioWoredasNew,/work/data/gold/atlas_4326/EthioWoredasNew.shp,MultiPolygon|Polygon,area,1129114168332.5789,56294836356.22909,0.04985752365446142,ETHIOPIA_WIDE,
Ethio_roads,/work/data/gold/atlas_4326/Ethio_roads.shp,LineString,length,45487518.8998599,3617154.9175123377,0.07951972332180726,ETHIOPIA_WIDE,
TigraiTabiasNew,/work/data/gold/atlas_4326/TigraiTabiasNew.shp,Polygon,area,54605206593.5764,51814656550.75169,0.9488958980854222,ETHIOPIA_WIDE,
TigrayNewWoredas,/work/data/gold/atlas_4326/TigrayNewWoredas.shp,MultiPolygon|Polygon,area,54612645411.72345,51822095368.89875,0.9489028590029506,ETHIOPIA_WIDE,
admin,/work/data/gold/atlas_4326/admin.shp,Polygon,area,1129964372526.6177,54948063288.33275,0.04862813786373462,ETHIOPIA_WIDE,
basins,/work/data/gold/atlas_4326/basins.shp,Polygon,area,1130818713726.383,56448426834.65221,0.04991819303081561,ETHIOPIA_WIDE,
contour,/work/data/gold/atlas_4326/contour.shp,LineString,length,436767600.8290168,37724605.98344792,0.08637226275905964,ETHIOPIA_WIDE,
ethio_wereda,/work/data/gold/atlas_4326/ethio_wereda.shp,Polygon,area,1132893934140.839,56451347209.93065,0.04982933133342449,ETHIOPIA_WIDE,
isoght,/work/data/gold/atlas_4326/isoght.shp,LineString,length,191135898.36209753,7051331.271604693,0.036891715957231085,ETHIOPIA_WIDE,
lakes,/work/data/gold/atlas_4326/lakes.shp,Polygon,area,7859206389.099329,0.0,0.0,ETHIOPIA_WIDE,
mbasins,/work/data/gold/atlas_4326/mbasins.shp,MultiPolygon|Polygon,area,1129964378971.1228,54948063182.28775,0.04862813749254656,ETHIOPIA_WIDE,
msoils,/work/data/gold/atlas_4326/msoils.shp,Polygon,area,1129965323625.056,54948031661.66797,0.04862806894408803,ETHIOPIA_WIDE,
necolog,/work/data/gold/atlas_4326/necolog.shp,Polygon,area,25181334565.1117,0.0,0.0,ETHIOPIA_WIDE,
nforest,/work/data/gold/atlas_4326/nforest.shp,Polygon,area,4.711827997251861,0.0,0.0,ETHIOPIA_WIDE,
nforests,/work/data/gold/atlas_4326/nforests.shp,Polygon,area,57514552803.1604,921098170.748995,0.016015045338201448,ETHIOPIA_WIDE,
nparks,/work/data/gold/atlas_4326/nparks.shp,Polygon,area,194497354028.46194,1033526192.9838465,0.005313831636149686,ETHIOPIA_WIDE,
rain_patrn,/work/data/gold/atlas_4326/rain_patrn.shp,Polygon,area,1132893824284.832,56451024859.56465,0.049829051628206014,ETHIOPIA_WIDE,
rain_stat,/work/data/gold/atlas_4326/rain_stat.shp,Point,points,146.0,12.0,0.0821917808219178,ETHIOPIA_WIDE,
rivers,/work/data/gold/atlas_4326/rivers.shp,LineString,length,94326691.68178248,6008808.143922335,0.06370209785575283,ETHIOPIA_WIDE,
roads,/work/data/gold/atlas_4326/roads.shp,LineString,length,37969622.10923773,2093883.2062471167,0.05514627457242168,ETHIOPIA_WIDE,
streams,/work/data/gold/atlas_4326/streams.shp,LineString,length,92094811.84587255,4878599.497809039,0.052973662685513,ETHIOPIA_WIDE,
towns,/work/data/gold/atlas_4326/towns.shp,Point,points,935.0,47.0,0.05026737967914439,ETHIOPIA_WIDE,
wetlands,/work/data/gold/atlas_4326/wetlands.shp,Polygon,area,25128103634.115486,16486730.403713718,0.0006561072273408767,ETHIOPIA_WIDE,
TigrayContour,/work/data/gold/atlas_4326/TigrayContour.shp,LineString|MultiLineString,length,31569783.249427825,31466252.459195033,0.9967205732958376,TIGRAY_ONLY,
TigrayRoads2006t,/work/data/gold/atlas_4326/TigrayRoads2006t.shp,LineString|MultiLineString,length,7487612.133346245,7406487.439702627,0.9891654786333914,TIGRAY_ONLY,
TigrayRoadsIn2006,/work/data/gold/atlas_4326/TigrayRoadsIn2006.shp,LineString|MultiLineString,length,3447183.8565635146,3389287.2974424562,0.9832046790858509,TIGRAY_ONLY,
TigraySchools2006,/work/data/gold/atlas_4326/TigraySchools2006.shp,Point,points,2121.0,2110.0,0.9948137670909948,TIGRAY_ONLY,
Tigray_Towns,/work/data/gold/atlas_4326/Tigray_Towns.shp,Point,points,47.0,47.0,1.0,TIGRAY_ONLY,
