layer_id,shp_file,geom_type,feature_count,crs,extent,field_name,field_type
Eth_Zones_New,Eth_Zones_New.shp,Polygon,74,"GEOGCRS[""WGS 84"",","(33.001536, 3.398548) - (47.958228, 14.845692)",ZONENAME,String
EthioWoredasNew,EthioWoredasNew.shp,Polygon,532,"GEOGCRS[""WGS 84"",","(32.999230, 3.400880) - (47.960530, 14.852220)",OBJECTID,Integer
EthioWoredasNew,EthioWoredasNew.shp,Polygon,532,"GEOGCRS[""WGS 84"",","(32.999230, 3.400880) - (47.960530, 14.852220)",W_NAME,String
EthioWoredasNew,EthioWoredasNew.shp,Polygon,532,"GEOGCRS[""WGS 84"",","(32.999230, 3.400880) - (47.960530, 14.852220)",Z4ID,String
EthioWoredasNew,EthioWoredasNew.shp,Polygon,532,"GEOGCRS[""WGS 84"",","(32.999230, 3.400880) - (47.960530, 14.852220)",EASE_Z4ID,String
EthioWoredasNew,EthioWoredasNew.shp,Polygon,532,"GEOGCRS[""WGS 84"",","(32.999230, 3.400880) - (47.960530, 14.852220)",REGION_R2I,String
EthioWoredasNew,EthioWoredasNew.shp,Polygon,532,"GEOGCRS[""WGS 84"",","(32.999230, 3.400880) - (47.960530, 14.852220)",Area_km2,Real
EthioWoredasNew,EthioWoredasNew.shp,Polygon,532,"GEOGCRS[""WGS 84"",","(32.999230, 3.400880) - (47.960530, 14.852220)",Shape_Leng,Real
EthioWoredasNew,EthioWoredasNew.shp,Polygon,532,"GEOGCRS[""WGS 84"",","(32.999230, 3.400880) - (47.960530, 14.852220)",Shape_Area,Real
EthioWoredasNew,EthioWoredasNew.shp,Polygon,532,"GEOGCRS[""WGS 84"",","(32.999230, 3.400880) - (47.960530, 14.852220)",Pop_04,Integer
EthioWoredasNew,EthioWoredasNew.shp,Polygon,532,"GEOGCRS[""WGS 84"",","(32.999230, 3.400880) - (47.960530, 14.852220)",Pop_Den,Real
EthioWoredasNew,EthioWoredasNew.shp,Polygon,532,"GEOGCRS[""WGS 84"",","(32.999230, 3.400880) - (47.960530, 14.852220)",LINK_ID,Integer
EthioWoredasNew,EthioWoredasNew.shp,Polygon,532,"GEOGCRS[""WGS 84"",","(32.999230, 3.400880) - (47.960530, 14.852220)",Admin_Unit,String
EthioWoredasNew,EthioWoredasNew.shp,Polygon,532,"GEOGCRS[""WGS 84"",","(32.999230, 3.400880) - (47.960530, 14.852220)",W6ID,Real
EthioWoredasNew,EthioWoredasNew.shp,Polygon,532,"GEOGCRS[""WGS 84"",","(32.999230, 3.400880) - (47.960530, 14.852220)",MF_All_All,Real
EthioWoredasNew,EthioWoredasNew.shp,Polygon,532,"GEOGCRS[""WGS 84"",","(32.999230, 3.400880) - (47.960530, 14.852220)",M_All_All_,Real
EthioWoredasNew,EthioWoredasNew.shp,Polygon,532,"GEOGCRS[""WGS 84"",","(32.999230, 3.400880) - (47.960530, 14.852220)",F_All_All_,Real
EthioWoredasNew,EthioWoredasNew.shp,Polygon,532,"GEOGCRS[""WGS 84"",","(32.999230, 3.400880) - (47.960530, 14.852220)",MF_All_0_4,Real
EthioWoredasNew,EthioWoredasNew.shp,Polygon,532,"GEOGCRS[""WGS 84"",","(32.999230, 3.400880) - (47.960530, 14.852220)",M_All_0_4,Real
EthioWoredasNew,EthioWoredasNew.shp,Polygon,532,"GEOGCRS[""WGS 84"",","(32.999230, 3.400880) - (47.960530, 14.852220)",F_All_0_4,Real
EthioWoredasNew,EthioWoredasNew.shp,Polygon,532,"GEOGCRS[""WGS 84"",","(32.999230, 3.400880) - (47.960530, 14.852220)",MF_All_5_9,Real
EthioWoredasNew,EthioWoredasNew.shp,Polygon,532,"GEOGCRS[""WGS 84"",","(32.999230, 3.400880) - (47.960530, 14.852220)",M_All_5_9,Real
EthioWoredasNew,EthioWoredasNew.shp,Polygon,532,"GEOGCRS[""WGS 84"",","(32.999230, 3.400880) - (47.960530, 14.852220)",F_All_5_9,Real
EthioWoredasNew,EthioWoredasNew.shp,Polygon,532,"GEOGCRS[""WGS 84"",","(32.999230, 3.400880) - (47.960530, 14.852220)",MF_All_10_,Real
EthioWoredasNew,EthioWoredasNew.shp,Polygon,532,"GEOGCRS[""WGS 84"",","(32.999230, 3.400880) - (47.960530, 14.852220)",M_All_10_1,Real
